SZA;CTO;AOD
68.416;321.0091;0.0179
68.416;321.0176;0.0179
68.416;321.0259;0.0179
68.416;321.0384;0.0179
68.416;321.0429;0.0179
68.416;321.0474;0.0179
68.416;321.0534;0.0179
68.416;321.0515;0.0179
68.416;321.0497;0.0179
68.416;321.0632;0.0179
68.416;321.0705;0.0179
68.416;321.0805;0.0179
68.416;321.1015;0.0179
68.416;321.1143;0.0179
68.416;321.133;0.0179
68.416;321.1416;0.0179
68.416;321.1495;0.0179
68.416;321.1687;0.0179
68.416;321.1759;0.0179
68.416;321.1802;0.0179
68.416;321.1958;0.0179
68.416;321.2013;0.0179
68.416;321.2077;0.0179
68.416;321.2244;0.0179
68.416;321.2305;0.0179
68.416;321.2366;0.0179
68.416;321.2519;0.0179
68.416;321.258;0.0179
68.416;321.2642;0.0179
68.416;321.2906;0.0179
68.416;321.3096;0.0179
68.416;321.3379;0.0179
68.416;321.3511;0.0179
68.416;321.364;0.0179
68.416;321.3831;0.0179
68.416;321.3882;0.0179
68.416;321.3964;0.018
68.416;321.4248;0.018
68.416;321.4362;0.018
68.416;321.4478;0.018
68.416;321.4782;0.018
68.416;321.4834;0.018
68.416;321.4826;0.018
68.416;321.5027;0.018
68.416;321.4984;0.018
68.416;321.5169;0.018
68.416;321.5138;0.018
68.416;321.5123;0.018
68.416;321.5332;0.018
68.416;321.5344;0.018
68.416;321.5351;0.018
68.416;321.5578;0.018
68.416;321.5634;0.018
68.416;321.5738;0.018
68.416;321.599;0.018
68.416;321.6051;0.018
68.416;321.6139;0.0181
68.416;321.6418;0.0181
68.416;321.6531;0.0181
68.416;321.6709;0.0181
68.416;321.6743;0.0181
68.416;321.6825;0.0181
68.416;321.7073;0.0181
68.416;321.7199;0.0181
68.416;321.7288;0.0181
68.416;321.7478;0.0181
68.416;321.7588;0.0181
68.416;321.7723;0.0181
68.416;321.793;0.0182
68.416;321.7995;0.0182
68.416;321.8061;0.0182
68.416;321.8152;0.0182
68.416;321.8186;0.0182
68.416;321.8218;0.0182
68.416;321.8274;0.0182
68.416;321.8332;0.0182
68.416;321.8369;0.0182
68.416;321.8483;0.0182
68.416;321.8599;0.0182
68.416;321.8542;0.0182
68.416;321.8573;0.0182
68.416;321.8629;0.0183
68.416;321.8595;0.0183
68.416;321.8676;0.0183
68.416;321.8753;0.0183
68.416;321.851;0.0183
68.416;321.7047;0.0185
68.416;321.6954;0.0185
68.416;321.693;0.0185
68.416;321.707;0.0185
68.416;321.7101;0.0185
68.416;321.7238;0.0185
68.416;321.7371;0.0185
68.416;321.7424;0.0185
68.416;321.7513;0.0185
68.416;321.76;0.0185
67.417;323.013;0.018
67.417;323.0288;0.0181
67.417;323.0445;0.0181
67.417;323.064;0.0181
67.417;323.0836;0.0182
67.417;323.1208;0.0182
67.417;323.1763;0.0183
67.417;323.2321;0.0184
67.417;323.2594;0.0185
67.417;323.2874;0.0186
67.417;323.3225;0.0187
67.417;323.3338;0.0189
67.417;323.315;0.0192
67.417;323.3105;0.0195
67.417;323.3176;0.0198
67.417;323.316;0.0201
67.417;323.3138;0.0203
67.417;323.3348;0.0204
67.417;323.3483;0.0203
67.417;323.3486;0.0203
67.417;323.3443;0.0203
67.417;323.3399;0.0202
67.417;323.3346;0.0201
67.417;323.332;0.02
67.417;323.3316;0.0199
67.417;323.3279;0.0198
67.417;323.3187;0.0198
67.417;323.3086;0.0197
67.417;323.2807;0.0196
67.417;323.2509;0.0195
67.417;323.2305;0.0195
67.417;323.2186;0.0194
67.417;323.2052;0.0194
67.417;323.1831;0.0193
67.417;323.1534;0.0193
67.417;323.1187;0.0193
